Date,Open,High,Low,Close,Adj Close,Volume
4/1/2020,57.93,58.43,56.650002,56.849998,56.849998,1110900
4/2/2020,58.369999,59.299999,57.91,58.91,58.91,1107900
4/3/2020,58,58.529999,56.77,57.48,57.48,667800
4/6/2020,59.830002,61.23,59.5,60.869999,60.869999,1196800
4/7/2020,62.75,62.900002,60.459999,60.66,60.66,1347100
4/8/2020,61.080002,62.369999,60.720001,62.110001,62.110001,1112600
4/9/2020,62.23,62.450001,61,61.580002,61.580002,1139300
4/13/2020,61,61.080002,59.509998,60.09,60.09,1551700
4/14/2020,61.799999,62.049999,60.900002,61.43,61.43,1762500
4/15/2020,62.200001,62.200001,61.240002,62.07,62.07,2207300
4/16/2020,62.419998,62.470001,61.59,62.240002,62.240002,2740200
4/17/2020,64.139999,64.440002,63.490002,64.440002,64.440002,3182300
4/20/2020,63.59,64.43,63.200001,63.549999,63.549999,2436900
4/21/2020,62.209999,62.650002,61.41,62.049999,62.049999,2203700
4/22/2020,62.689999,62.98,62.470001,62.68,62.68,837300
4/23/2020,63.43,63.5,61.959999,62.060001,62.060001,985500
4/24/2020,63.189999,63.189999,62.25,62.959999,62.959999,1158100
4/27/2020,63.509998,63.869999,63.220001,63.450001,63.450001,1233300
4/28/2020,63.880001,64.040001,62.889999,62.919998,62.919998,972100
4/29/2020,64.410004,64.849998,63.830002,64.580002,64.580002,1193600
4/30/2020,64.160004,64.440002,63.400002,64.25,64.25,1108900
5/1/2020,63.23,63.619999,62.16,62.73,62.73,625200
5/4/2020,62.299999,62.529999,61.349998,61.939999,61.939999,768100
5/5/2020,62.889999,63.740002,62.779999,63.389999,63.389999,957200
5/6/2020,63.939999,64.260002,63.240002,63.950001,63.950001,913600
5/7/2020,64.269997,64.589996,63.900002,64.370003,64.370003,900400
5/8/2020,65,65.889999,64.589996,65.510002,65.510002,957700
5/11/2020,65.769997,66.050003,65.279999,65.970001,65.970001,916800
5/12/2020,65.919998,66.400002,65.550003,65.589996,65.589996,1140200
5/13/2020,63.68,64.050003,62.299999,62.779999,62.779999,2543800
5/14/2020,62.939999,63.66,62.369999,63.66,63.66,1329900
5/15/2020,63.52,64.559998,63.48,64.010002,64.010002,1241200
5/18/2020,63,64.459999,62.689999,64.07,64.07,1976900
5/19/2020,64.290001,64.339996,63,63.049999,63.049999,2118400
5/20/2020,63.23,63.849998,63.060001,63.169998,63.169998,2146500
5/21/2020,63,63.380001,62.18,62.740002,62.740002,1214600
5/22/2020,63.200001,63.32,62.59,63.240002,63.240002,848700
5/26/2020,62.790001,63.16,62.16,62.18,62.18,1435100
5/27/2020,62.5,63.029999,62.02,62.970001,62.970001,1524600
5/28/2020,63.580002,65.330002,63.580002,64.580002,64.580002,1606900
5/29/2020,64.199997,64.760002,63.650002,64.760002,64.760002,1176800
6/1/2020,64.910004,65.650002,64.559998,65.489998,65.489998,1423600
6/2/2020,65.980003,66.82,65.919998,66.75,66.75,1420600
6/3/2020,66,67.019997,65.970001,66.790001,66.790001,2723200
6/4/2020,67,67.410004,66.059998,66.18,66.18,1167400
6/5/2020,66.580002,67.550003,66.550003,67.309998,67.309998,1274500
6/8/2020,67.5,68.790001,67.300003,68.559998,68.559998,1392600
6/9/2020,68.440002,68.800003,67.900002,68.449997,68.449997,986700
6/10/2020,70,70.599998,69.150002,70.510002,70.510002,1863300
6/11/2020,70.169998,70.190002,67.099998,67.370003,67.370003,2784400
6/12/2020,69.720001,69.830002,66.870003,68.290001,68.290001,2360700
6/15/2020,68.360001,69.989998,67.889999,69.730003,69.730003,1640100
6/16/2020,70.489998,70.5,68.800003,69.349998,69.349998,1029200
6/17/2020,70.959999,71.779999,70.730003,71.580002,71.580002,1375300
6/18/2020,71.650002,71.849998,71.419998,71.550003,71.550003,920000
6/19/2020,71.720001,71.849998,70.75,70.980003,70.980003,1513900
6/22/2020,71.25,71.809998,70.959999,71.709999,71.709999,605900
6/23/2020,71.809998,72.339996,71.589996,71.639999,71.639999,1189700
6/24/2020,71.389999,71.480003,70.300003,70.650002,70.650002,646500
6/25/2020,70.160004,71.120003,69.720001,71,71,682300
6/26/2020,70.260002,70.419998,69.199997,69.68,69.68,953300
6/29/2020,68.739998,68.849998,68.150002,68.720001,68.720001,972100
6/30/2020,68.629997,69.220001,68.459999,69.129997,69.129997,736700
7/1/2020,69.169998,70.949997,69.169998,70.389999,70.389999,1549700
7/2/2020,70.5,70.5,69.970001,70.230003,70.230003,1087000
7/6/2020,70.519997,70.809998,70.300003,70.529999,70.529999,1397500
7/7/2020,69.82,70.059998,69.050003,69.160004,69.160004,908000
7/8/2020,69.550003,69.849998,68.980003,69.790001,69.790001,533500
7/9/2020,71.32,71.660004,70.480003,71.529999,71.529999,949600
7/10/2020,73,74.110001,72.610001,73.940002,73.940002,1666900
7/13/2020,75.5,76.639999,74.160004,74.360001,74.360001,1814600
7/14/2020,73.389999,74.610001,73.129997,74.519997,74.519997,757600
7/15/2020,76.110001,77.879997,75.889999,76.830002,76.830002,1985200
7/16/2020,76.300003,77.07,76.150002,76.800003,76.800003,935400
7/17/2020,75.959999,76.43,75.440002,76.080002,76.080002,1091700
7/20/2020,77.18,78.5,76.889999,78.18,78.18,875000
7/21/2020,78.25,78.269997,77.150002,77.309998,77.309998,698200
7/22/2020,77.269997,77.599998,76.809998,77.349998,77.349998,417000
7/23/2020,77.480003,77.989998,76.190002,76.419998,76.419998,608100
7/24/2020,75.849998,76.550003,75.339996,76.459999,76.459999,535500
7/27/2020,77.669998,78.610001,77.629997,78.529999,78.529999,911200
7/28/2020,78.5,78.5,77.589996,77.620003,77.620003,479200
7/29/2020,77.629997,78.739998,77.559998,78.349998,78.349998,530400
7/30/2020,77.459999,78.760002,77.330002,78.519997,78.519997,624300
7/31/2020,76.980003,77.970001,76.910004,77.959999,77.959999,1113400
8/3/2020,78.709999,81.410004,78.669998,81.269997,81.269997,2149700
8/4/2020,83.559998,84.150002,82.510002,83.370003,83.370003,1695500
8/5/2020,81.699997,81.790001,80.709999,81.25,81.25,1198600
8/6/2020,80.860001,81.120003,80.360001,80.470001,80.470001,1129800
8/7/2020,80.5,80.730003,79.110001,80.029999,80.029999,1101600
8/10/2020,80.449997,80.449997,79.730003,80.050003,80.050003,644600
8/11/2020,79.919998,80.32,79.220001,79.330002,79.330002,1039600
8/12/2020,79.510002,80.980003,79.459999,80.739998,80.739998,1233600
8/13/2020,81.559998,83.190002,81.269997,82.669998,82.669998,1794200
8/14/2020,83.389999,83.610001,82.879997,82.93,82.93,1419400
8/17/2020,83.529999,83.709999,82.720001,83.449997,83.449997,1237400
8/18/2020,83.849998,83.900002,82.629997,82.980003,82.980003,798200
8/19/2020,81.5,82.07,81.019997,81.099998,81.099998,1354300
8/20/2020,79.07,79.57,78.870003,79.410004,79.410004,1224700
8/21/2020,78.5,78.93,78.199997,78.75,78.75,1337000
8/24/2020,79.910004,80.279999,79.370003,79.769997,79.769997,848500
8/25/2020,79.18,79.620003,79.160004,79.370003,79.370003,636000
8/26/2020,80.400002,81.209999,80.139999,81.120003,81.120003,900600
8/27/2020,81.199997,81.199997,79.970001,80.419998,80.419998,1032800
8/28/2020,79.07,79.650002,78.800003,79.389999,79.389999,1010000
8/31/2020,78.650002,78.980003,78.440002,78.639999,78.639999,777200
9/1/2020,79.230003,80.110001,78.75,79.5,79.5,1062500
9/2/2020,79.589996,80,78.800003,79.489998,79.489998,888900
9/3/2020,78.849998,78.959999,76.709999,77.379997,77.379997,1069300
9/4/2020,77.779999,78.470001,75.599998,77.660004,77.660004,1241500
9/8/2020,76.709999,76.860001,75.870003,76.010002,76.010002,1262300
9/9/2020,76.860001,77.949997,76.550003,77.480003,77.480003,888300
9/10/2020,77.769997,77.940002,76.400002,76.5,76.5,979700
9/11/2020,77.18,77.389999,76.239998,77.019997,77.019997,826100
9/14/2020,77.330002,78.260002,77.269997,77.720001,77.720001,676200
9/15/2020,76.870003,77.300003,76.230003,76.459999,76.459999,1383600
9/16/2020,77.879997,78,76.889999,76.989998,76.989998,1789200
9/17/2020,77.160004,78.290001,76.720001,77.610001,77.610001,1461500
9/18/2020,80.080002,80.169998,78.330002,78.959999,78.959999,1212000
9/21/2020,77.75,78.349998,77,78.269997,78.269997,762500
9/22/2020,79.07,79.080002,77.82,78.699997,78.699997,730800
9/23/2020,78.5,78.540001,76.989998,77.330002,77.330002,873100
